# Gravidade do Havai
# Gerado a partir do modelo EIGEN-6c4
# Baixado de http://icgem.gfz-potsdam.de/ICGEM/
# nlon x nlat = 76 x 76
201.60000 28.00000 687410.76577 1674056.64804 0.00000 -5570.00000 979172.84343
201.80000 28.00000 708241.39504 1674056.64804 0.00000 -5608.00000 979163.72215
202.00000 28.00000 729072.02431 1674056.64804 0.00000 -5597.00000 979167.67634
202.20000 28.00000 749902.65357 1674056.64804 0.00000 -5548.00000 979168.97260
202.40000 28.00000 770733.28284 1674056.64804 0.00000 -5601.00000 979167.77999
202.60000 28.00000 791563.91210 1674056.64804 0.00000 -5629.00000 979165.42851
202.80000 28.00000 812394.54137 1674056.64804 0.00000 -5651.00000 979163.21632
203.00000 28.00000 833225.17064 1674056.64804 0.00000 -5468.00000 979169.04784
203.20000 28.00000 854055.79990 1674056.64804 0.00000 -5509.00000 979162.03443
203.40000 28.00000 874886.42917 1674056.64804 0.00000 -5688.00000 979165.19768
203.60000 28.00000 895717.05843 1674056.64804 0.00000 -5708.00000 979166.38548
203.80000 28.00000 916547.68770 1674056.64804 0.00000 -5546.00000 979167.11590
204.00000 28.00000 937378.31696 1674056.64804 0.00000 -5739.00000 979166.65809
204.20000 28.00000 958208.94623 1674056.64804 0.00000 -5730.00000 979167.56050
204.40000 28.00000 979039.57550 1674056.64804 0.00000 -5624.00000 979169.98967
204.60000 28.00000 999870.20476 1674056.64804 0.00000 -5695.00000 979168.68315
204.80000 28.00000 1020700.83403 1674056.64804 0.00000 -5599.00000 979173.34341
205.00000 28.00000 1041531.46329 1674056.64804 0.00000 -5657.00000 979169.92600
205.20000 28.00000 1062362.09256 1674056.64804 0.00000 -5689.00000 979167.48357
205.40000 28.00000 1083192.72183 1674056.64804 0.00000 -5769.00000 979163.59212
205.60000 28.00000 1104023.35109 1674056.64804 0.00000 -5678.00000 979166.01849
205.80000 28.00000 1124853.98036 1674056.64804 0.00000 -5724.00000 979161.53268
206.00000 28.00000 1145684.60962 1674056.64804 0.00000 -5802.00000 979161.01683
206.20000 28.00000 1166515.23889 1674056.64804 0.00000 -5689.00000 979165.02315
206.40000 28.00000 1187345.86816 1674056.64804 0.00000 -5548.00000 979165.80907
206.60000 28.00000 1208176.49742 1674056.64804 0.00000 -5557.00000 979172.37003
206.80000 28.00000 1229007.12669 1674056.64804 0.00000 -5491.00000 979171.64454
